dep_temp_C,prec_temp_C,x_cm,y_cm,thickness_nm,refractive_index,wer_A_min
100,55,0,10.5,3.2,2.69,18.9
100,55,-1.5,9,3.1,2.58,16.4
100,55,1.5,9,2.8,2.58,14.8
100,55,-3,7.5,5.2,2.57,18.2
100,55,0,7.5,8.4,2.17,18.3
100,55,3,7.5,5.3,2.65,15.5
100,55,-1.5,6,15.2,2.08,10.5
100,55,1.5,6,12.2,2.06,10.0
100,55,0,4.5,15.5,2.07,10.5
100,60,0,10.5,14.9,2.11,5.5
100,60,-1.5,9,15.3,2.11,5.4
100,60,1.5,9,14.9,2.12,5.1
100,60,-3,7.5,14.1,2.13,5.3
100,60,0,7.5,14.0,2.13,5.3
100,60,3,7.5,14.0,2.13,5.1
100,60,-1.5,6,13.7,2.13,4.9
100,60,1.5,6,13.7,2.13,5.2
100,60,0,4.5,13.5,2.13,4.7
100,65,0,10.5,15.9,2.09,6.5
100,65,-1.5,9,15.8,2.1,6.6
100,65,1.5,9,15.6,2.09,5.7
100,65,-3,7.5,14.6,2.11,6.7
100,65,0,7.5,14.6,2.11,6.1
100,65,3,7.5,14.8,2.11,6.4
100,65,-1.5,6,14.5,2.11,6.1
100,65,1.5,6,14.5,2.12,6.2
100,65,0,4.5,14.3,2.12,5.1
100,70,0,10.5,16.7,2.1,7.8
100,70,-1.5,9,16.0,2.11,6.6
100,70,1.5,9,16.4,2.1,7.3
100,70,-3,7.5,15.3,2.12,6.9
100,70,0,7.5,15.4,2.12,7.0
100,70,3,7.5,15.1,2.12,6.4
100,70,-1.5,6,15.2,2.12,6.5
100,70,1.5,6,15.1,2.12,6.7
100,70,0,4.5,15.2,2.12,6.3
100,75,0,10.5,16.3,2.09,6.5
100,75,-1.5,9,15.7,2.1,7.0
100,75,1.5,9,15.6,2.11,6.7
100,75,-3,7.5,15.1,2.12,5.8
100,75,0,7.5,15.2,2.11,6.4
100,75,3,7.5,15.2,2.11,5.8
100,75,-1.5,6,15.1,2.11,5.8
100,75,1.5,6,15.1,2.12,5.7
100,75,0,4.5,14.9,2.13,5.4
125,55,0,10.5,3.3,2.56,16.7
125,55,-1.5,9,3.5,2.53,16.5
125,55,1.5,9,2.7,2.58,8.2
125,55,-3,7.5,5.2,2.39,7.8
125,55,0,7.5,7.7,2.27,7.9
125,55,3,7.5,4.2,2.51,12.7
125,55,-1.5,6,14.3,2.12,7.0
125,55,1.5,6,9.8,2.18,8.8
125,55,0,4.5,14.3,2.12,6.4
125,60,0,10.5,14.6,2.11,4.6
125,60,-1.5,9,15.2,2.1,5.1
125,60,1.5,9,14.7,2.11,4.5
125,60,-3,7.5,13.5,2.13,4.3
125,60,0,7.5,13.8,2.12,4.5
125,60,3,7.5,13.7,2.12,4.5
125,60,-1.5,6,13.4,2.11,4.2
125,60,1.5,6,13.4,2.13,4.3
125,60,0,4.5,13.2,2.12,4.4
125,65,0,10.5,15.3,2.09,5.5
125,65,-1.5,9,15.3,2.11,5.6
125,65,1.5,9,14.9,2.1,4.7
125,65,-3,7.5,14.3,2.12,5.7
125,65,0,7.5,14.2,2.11,5.1
125,65,3,7.5,14.3,2.11,5.4
125,65,-1.5,6,14.1,2.11,5.1
125,65,1.5,6,14.0,2.11,5.2
125,65,0,4.5,13.8,2.12,4.1
125,70,0,10.5,16.2,2.11,5.2
125,70,-1.5,9,15.4,2.12,4.9
125,70,1.5,9,16.1,2.12,4.5
125,70,-3,7.5,14.4,2.12,5.1
125,70,0,7.5,14.4,2.12,4.2
125,70,3,7.5,14.9,2.13,4.8
125,70,-1.5,6,14.3,2.12,4.5
125,70,1.5,6,14.5,2.13,4.8
125,70,0,4.5,14.3,2.12,3.2
125,75,0,10.5,15.7,2.12,4.6
125,75,-1.5,9,15.4,2.11,4.9
125,75,1.5,9,15.9,2.12,3.9
125,75,-3,7.5,14.7,2.11,4.7
125,75,0,7.5,14.7,2.12,4.1
125,75,3,7.5,14.8,2.12,4.4
125,75,-1.5,6,14.8,2.11,4.8
125,75,1.5,6,14.9,2.11,5.1
125,75,0,4.5,14.7,2.12,3.7
150,55,0,10.5,3.4,2.68,14.2
150,55,-1.5,9,3.3,2.62,19.3
150,55,1.5,9,2.8,2.66,13.5
150,55,-3,7.5,7.5,2.29,6.0
150,55,0,7.5,13.1,2.12,5.6
150,55,3,7.5,6.5,2.37,19.7
150,55,-1.5,6,13.6,2.13,5.2
150,55,1.5,6,13.5,2.13,5.7
150,55,0,4.5,13.8,2.12,5.2
150,60,0,10.5,13.0,2.15,3.7
150,60,-1.5,9,13.7,2.14,3.3
150,60,1.5,9,13.5,2.15,3.6
150,60,-3,7.5,12.5,2.17,3.7
150,60,0,7.5,12.7,2.15,3.8
150,60,3,7.5,12.7,2.14,3.5
150,60,-1.5,6,12.2,2.16,3.4
150,60,1.5,6,12.3,2.16,3.6
150,60,0,4.5,12.1,2.17,3.4
150,65,0,10.5,14.1,2.13,4.2
150,65,-1.5,9,13.9,2.15,4.1
150,65,1.5,9,14.0,2.14,4.1
150,65,-3,7.5,13.1,2.15,4.0
150,65,0,7.5,13.1,2.15,3.6
150,65,3,7.5,13.2,2.15,4.0
150,65,-1.5,6,13.0,2.15,3.4
150,65,1.5,6,12.8,2.16,3.5
150,65,0,4.5,12.8,2.16,3.1
150,70,0,10.5,15.0,2.14,4.2
150,70,-1.5,9,14.6,2.15,4.0
150,70,1.5,9,14.5,2.16,3.8
150,70,-3,7.5,13.6,2.16,4.0
150,70,0,7.5,13.7,2.16,3.6
150,70,3,7.5,13.8,2.15,3.9
150,70,-1.5,6,13.9,2.16,3.6
150,70,1.5,6,13.7,2.17,3.7
150,70,0,4.5,13.9,2.17,3.6
150,75,0,10.5,14.3,2.15,4.1
150,75,-1.5,9,13.9,2.14,4.0
